WikiID,Name,global_revenue,budget,gross_domestic,opening_weekend,rating_score,number_of_ratings,watched_rank,producer,release_year
10841532,Monster Camp,None,None,None,None,6.6,640.0,None,Cullen Hoback,2007
28330018,Nagarathil Samsara Vishayam,None,None,None,None,5.4,44.0,None,Kaloor Dennis,1991
5313828,Bolero,None,None,None,None,6.6,367.0,None,Wesley Ruggles,1934
23688047,Il Romanzo della mia vita,None,None,None,None,6.1,25.0,None,Lionello De Felice,1952
12254261,College Ranga,None,None,None,None,8.6,10.0,None,S.R. Puttana Kanagal,1976
19844299,The Squeaker,None,None,None,None,6.2,964.0,None,Alfred Vohrer,1963
12903534,Fatboy: The Movie,None,None,None,None,None,None,None,None,None
13902330,The Ambassador,None,None,None,None,5.3,892.0,None,J. Lee Thompson,1984
31322461,Die Sonnenbrucks,None,None,None,None,None,None,None,Georg C. Klaren,1951
26117427,Men Are Not Gods,None,None,None,None,6.0,347.0,None,Walter Reisch,1936
25914703,Poovinnu Puthiya Poonthennal,None,None,None,None,7.3,158.0,None,Fazil,1986
27306334,Mr. Vampire II,2068448.0,None,None,None,5.7,835.0,None,Ricky Lau,1986
27834618,Instant Karma,None,None,None,None,4.2,167.0,None,Roderick Taylor,1990
14920488,Aadhi Mimansa,None,None,None,None,6.9,11.0,None,Apurba Kishore Bir,1991
19506118,Det skete på Møllegården,None,None,None,None,5.8,189.0,None,Alice O'Fredericks,1960
34289848,Hollywood Hot Tubs,None,None,None,None,3.8,493.0,None,Chuck Vincent,1984
14737421,Us,None,None,None,None,7.1,202.0,None,Michael Landon,1991
1623363,5 Fingers,46317.0,None,None,None,7.6,5400.0,None,Joseph L. Mankiewicz,1952
4224754,Thevar Magan,None,None,None,None,8.7,7800.0,None,Bharathan,1992
6046241,How Sweet It Is!,None,None,None,None,5.9,734.0,None,Jerry Paris,1968
2502451,Revolver,7221558.0,None,84738.0,41820.0,6.3,101000.0,2853.0,Guy Ritchie,2005
10534798,A Black and White World,None,None,None,None,7.6,13.0,None,Adam White,2005
5224973,Night Flight from Moscow,None,None,None,None,6.2,1200.0,None,Henri Verneuil,1973
12822130,Knockin' on Heaven's Door,214139.0,4300000.0,5710.0,1731.0,7.8,33000.0,None,Thomas Jahn,1997
35910766,The Monastery of Sendomir,None,None,None,None,None,None,None,Rudolf Meinert,1919
19637959,Little Amy,None,None,None,None,None,None,None,None,None
31761101,Love/Juice,None,None,None,None,6.4,226.0,None,Kaze Shindô,2000
6517412,Do You Remember Dolly Bell?,None,None,None,None,7.5,6700.0,None,Emir Kusturica,1981
21931690,A Man Called Peter,None,None,None,None,7.1,1100.0,None,Henry Koster,1955
1353086,The Fearless Vampire Killers,None,2000000.0,None,None,7.0,33000.0,1017.0,Roman Polanski,1967
9994310,The Curious Dr. Humpp,None,None,None,None,4.8,669.0,None,Emilio Vieyra,1969
22803943,Jujiro,None,None,None,None,7.0,445.0,None,Teinosuke Kinugasa,1928
5467578,With Love and Hisses,None,None,None,None,6.2,671.0,None,Fred Guiol,1927
